,Unnamed: 0,inningNumber,oversActual,pitchLine,pitchLength,isFour,isSix,isWicket,byes,legbyes,wides,noballs,run,totalRuns,totalWickets,shotType,time_of_day,Ground Name,Batsman_Name,Batsman_Role,Batsman_Batting_Style,Batsman_Playing_Role,Bowler_Name,Bowler_Role,Bowler_Bowling_Style,Bowler_Playing_Role,isBoundary,isGoodBall,isDeathOver,line_x_length
0,0,1,0.1,1,2,0,0,0,0,0,0,0,0,0,0,3,0,1,360,2,1,6,47,1,4,3,0,1,0,2
1,1,1,0.2,1,4,0,0,0,0,0,0,0,0,0,0,1,0,1,360,2,1,6,47,1,4,3,0,1,0,4
2,2,1,0.3,1,2,0,0,0,0,0,0,0,0,0,0,3,0,1,360,2,1,6,47,1,4,3,0,1,0,2
3,3,1,0.4,1,2,0,0,0,0,0,0,0,0,0,0,4,0,1,360,2,1,6,47,1,4,3,0,1,0,2
4,4,1,0.5,1,2,0,0,1,0,0,0,0,0,0,0,0,0,1,360,2,1,6,47,1,4,3,0,1,0,2
5,5,1,0.6,2,2,0,0,0,0,0,0,0,0,0,1,3,0,1,4,0,0,1,47,1,4,3,0,1,0,4
6,6,1,9.1,2,4,0,0,0,0,0,0,0,1,63,2,8,0,1,4,0,0,1,139,1,6,6,0,1,0,8
7,7,1,9.2,1,3,0,0,0,0,0,0,0,1,64,2,11,0,1,72,2,0,0,139,1,6,6,0,1,0,3
8,8,1,9.3,1,2,0,0,0,0,2,0,0,2,65,2,17,0,1,4,0,0,1,139,1,6,6,0,0,0,2
9,9,1,9.4,4,0,0,0,0,0,0,0,0,1,67,2,0,0,1,4,0,0,1,139,1,6,6,0,1,0,0
10,10,1,9.5,0,2,0,0,0,0,0,0,0,1,68,2,21,0,1,72,2,0,0,139,1,6,6,0,1,0,0
11,11,1,9.6,0,0,0,0,0,0,0,0,0,1,69,2,4,0,1,4,0,0,1,139,1,6,6,0,1,0,0
12,12,1,10.1,2,4,0,0,0,0,0,0,0,1,70,2,8,0,1,4,0,0,1,28,2,17,7,0,1,0,8
13,13,1,10.2,2,2,0,0,0,0,0,0,0,1,71,2,4,0,1,72,2,0,0,28,2,17,7,0,1,0,4
14,14,1,10.3,1,2,0,0,0,0,0,0,0,1,72,2,4,0,1,4,0,0,1,28,2,17,7,0,1,0,2
