Full Name,total_runs,balls_faced,total_fours,total_sixes,total_boundaries,total_wickets,strike_rate,average,dismissal_rate,boundary_pct,dot_ball_pct,vs_left_arm_fast,vs_left_arm_fast_medium,vs_left_arm_medium,vs_left_arm_mediumslow_left_arm_orthodox,vs_left_arm_medium_fast,vs_left_arm_wrist_spin,vs_legbreak,vs_legbreak_googly,vs_right_arm_fast,vs_right_arm_fast_medium,vs_right_arm_fast_mediumlegbreak,vs_right_arm_fast_mediumlegbreak_googly,vs_right_arm_medium,vs_right_arm_mediumlegbreak,vs_right_arm_mediumright_arm_offbreak,vs_right_arm_medium_fast,vs_right_arm_medium_fastright_arm_offbreak,vs_right_arm_offbreak,vs_right_arm_offbreaklegbreak,vs_right_arm_offbreaklegbreak_googly,vs_slow_left_arm_orthodox,avg_runs_death,avg_runs_middle,avg_runs_powerplay,adaptability_index,adaptability_label,run_std,consistency_index
AB de Villiers,117.0,61.0,5.0,9.0,14.0,3.0,191.8,39.0,20.33,22.95,24.59,0.0,0.0,0.0,0.0,0.0,0.0,1.7777777777777777,3.888888888888889,1.6666666666666667,1.2222222222222223,0.0,0.0,1.8,0.0,0.0,1.0,0.0,1.625,0.0,0.0,0.9090909090909091,2.8095238095238093,1.4166666666666667,0.875,0.427,Medium,1.9858877108235502,19.639
Aaron Finch,333.0,258.0,23.0,13.0,36.0,11.0,129.07,30.27,23.45,13.95,43.02,1.1538461538461537,1.4324324324324325,0.0,0.0,1.0,0.0,0.7777777777777778,0.8571428571428571,1.3703703703703705,1.2619047619047619,0.0,0.0,0.6666666666666666,0.0,0.0,1.0384615384615385,0.0,1.59375,0.8181818181818182,0.0,0.7777777777777778,1.6875,0.9901960784313726,1.28125,0.826,High,1.5898126777423698,19.04
Aaron Johnson,101.0,73.0,12.0,4.0,16.0,4.0,138.36,25.25,18.25,21.92,53.42,2.4285714285714284,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.08,1.4444444444444444,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0666666666666667,0.0,1.3333333333333333,1.3541666666666667,0.279,Low,1.8923268483274502,13.343
Aaron Jones,152.0,87.0,6.0,13.0,19.0,1.0,174.71,152.0,87.0,21.84,39.08,1.5,0.8333333333333334,0.0,0.0,1.1666666666666667,0.0,2.0,0.0,1.0740740740740742,2.6666666666666665,0.0,0.0,1.6666666666666667,0.0,0.0,0.0,0.0,2.8461538461538463,0.0,0.0,2.75,1.9310344827586208,1.9111111111111112,0.5263157894736842,0.549,Medium,2.057779228432603,73.866
Afif Hossain,152.0,121.0,10.0,3.0,13.0,11.0,125.62,13.82,11.0,10.74,28.93,2.0,1.2222222222222223,1.2857142857142858,0.0,0.8571428571428571,0.0,1.1,2.25,0.95,1.1666666666666667,0.0,0.0,0.0,0.0,0.0,0.9473684210526315,0.0,0.75,1.6153846153846154,0.0,1.0,1.2131147540983607,1.2241379310344827,0.7777777777777778,0.785,High,1.3086628386245442,10.56
Ahmed Shehzad,109.0,104.0,13.0,0.0,13.0,4.0,104.81,27.25,26.0,12.5,38.46,0.0,0.0,0.0,0.0,1.0666666666666667,0.0,0.8461538461538461,0.0,0.9230769230769231,1.3076923076923077,0.0,0.0,1.4285714285714286,0.0,0.0,1.4,0.0,1.0833333333333333,0.0,0.0,0.8214285714285714,0.0,1.0862068965517242,0.9583333333333334,0.541,Medium,1.2379518197395274,22.012
Aiden Markram,293.0,214.0,23.0,11.0,34.0,10.0,136.92,29.3,21.4,15.89,34.11,0.875,2.0,0.0,0.0,1.1538461538461537,0.0,1.2142857142857142,1.5384615384615385,1.4137931034482758,1.75,0.0,0.0,0.6818181818181818,0.0,0.0,1.56,0.0,1.2857142857142858,0.0,0.0,1.2857142857142858,1.7608695652173914,1.4594594594594594,0.819672131147541,0.753,High,1.6195767321352312,18.091
Ajinkya Rahane,41.0,35.0,2.0,0.0,2.0,1.0,117.14,41.0,35.0,5.71,22.86,0.0,0.0,0.0,0.0,0.0,0.0,1.2352941176470589,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,1.2083333333333333,1.0909090909090908,0.247,Low,0.9607371508460953,42.676
Akeal Hosein,46.0,50.0,2.0,1.0,3.0,1.0,92.0,46.0,50.0,6.0,44.0,0.7142857142857143,1.75,0.0,0.0,0.0,0.0,0.6,0.0,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,1.8,0.0,0.0,0.8333333333333334,1.2352941176470589,0.7575757575757576,0.0,0.434,Medium,1.209486313629527,38.033
Alex Hales,286.0,202.0,28.0,11.0,39.0,10.0,141.58,28.6,20.2,19.31,39.11,0.5,1.2962962962962963,0.0,0.0,1.6,0.0,1.0416666666666667,1.0,1.6129032258064515,1.4285714285714286,0.0,0.0,1.3076923076923077,0.0,0.0,2.090909090909091,0.0,1.375,0.0,0.0,0.925,2.5,1.1466666666666667,1.5,0.733,High,1.716355137773255,16.663
