Batsman_Name_clean,total_runs,avg_runs,total_4s,total_6s,total_wickets,total_boundaries,avg_pitchLine,avg_pitchLength,balls_faced,strike_rate,boundary_rate,dot_ball_pct,boundary_ball_ratio,avg_runs_death,avg_runs_middle,avg_runs_powerplay,dismissal_ratio,run_std,consistency_index,avg_vs_left-arm_fast,avg_vs_left-arm_fast-medium,avg_vs_left-arm_medium,"avg_vs_left-arm_medium,slow_left-arm_orthodox",avg_vs_left-arm_medium-fast,avg_vs_left-arm_wrist-spin,avg_vs_legbreak,avg_vs_legbreak_googly,avg_vs_right-arm_fast,avg_vs_right-arm_fast-medium,"avg_vs_right-arm_fast-medium,legbreak","avg_vs_right-arm_fast-medium,legbreak_googly",avg_vs_right-arm_medium,"avg_vs_right-arm_medium,legbreak","avg_vs_right-arm_medium,right-arm_offbreak",avg_vs_right-arm_medium-fast,"avg_vs_right-arm_medium-fast,right-arm_offbreak",avg_vs_right-arm_offbreak,"avg_vs_right-arm_offbreak,legbreak","avg_vs_right-arm_offbreak,legbreak_googly",avg_vs_slow_left-arm_orthodox,avg_runs_day,avg_runs_daynight,avg_runs_night
aamir kaleem,0,0.0,0,0,2,0,1.8,1.8,5,0.0,0.0,,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aaron finch,333,1.1978417266187051,23,13,11,36,1.669064748201439,2.4892086330935252,278,119.78417266187051,0.12949640287769784,,0.12949640287769784,1.6875,0.9901960784313726,1.28125,0.039568345323741004,1.5898126777423698,0.7534478683814771,1.1538461538461537,1.4324324324324325,0.0,0.0,1.0,0.0,0.7777777777777778,0.8571428571428571,1.3703703703703705,1.2619047619047619,0.0,0.0,0.6666666666666666,0.0,0.0,1.0384615384615385,0.0,1.59375,0.8181818181818182,0.0,0.7777777777777778,1.4754098360655739,1.2407407407407407,1.0797546012269938
aaron johnson,101,1.3466666666666667,12,4,4,16,1.68,2.12,75,134.66666666666666,0.21333333333333335,,0.21333333333333335,0.0,1.3333333333333333,1.3541666666666667,0.05333333333333334,1.8923268483274502,0.7116455363994825,2.4285714285714284,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.08,1.4444444444444444,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0666666666666667,1.2372881355932204,0.0,1.75
aaron jones,152,1.6344086021505377,6,13,1,19,1.6451612903225807,2.247311827956989,93,163.44086021505376,0.20430107526881722,,0.20430107526881722,1.9310344827586208,1.9111111111111112,0.5263157894736842,0.010752688172043012,2.057779228432603,0.7942580940217583,1.5,0.8333333333333334,0.0,0.0,1.1666666666666667,0.0,2.0,0.0,1.0740740740740742,2.6666666666666665,0.0,0.0,1.6666666666666667,0.0,0.0,0.0,0.0,2.8461538461538463,0.0,0.0,2.75,1.02,0.0,2.3488372093023258
aaron phangiso,4,0.8,0,0,0,0,2.0,2.4,5,80.0,0.0,,0.0,0.8,0.0,0.0,0.0,0.4472135954999579,1.7888503820087762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8
aasif sheikh,4,0.5,1,0,1,1,1.875,0.25,8,50.0,0.125,,0.125,0.0,0.0,0.5,0.125,1.4142135623730951,0.35355314059345055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
aayan afzal khan,25,0.8620689655172413,1,0,2,1,1.7586206896551724,2.5517241379310347,29,86.20689655172413,0.034482758620689655,,0.034482758620689655,0.75,0.9047619047619048,0.0,0.06896551724137931,0.9900987660342089,0.8706889902319763,0.0,0.8,0.0,0.0,0.0,0.0,0.7142857142857143,0.0,0.75,0.6666666666666666,0.0,0.0,1.25,0.0,0.0,1.25,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.8620689655172413
ab de villiers,117,1.8,5,9,3,14,1.8,1.8307692307692307,65,180.0,0.2153846153846154,,0.2153846153846154,2.8095238095238093,1.4166666666666667,0.875,0.046153846153846156,1.9858877108235502,0.9063952024046393,0.0,0.0,0.0,0.0,0.0,0.0,1.7777777777777777,3.888888888888889,1.6666666666666667,1.2222222222222223,0.0,0.0,1.8,0.0,0.0,1.0,0.0,1.625,0.0,0.0,0.9090909090909091,0.0,2.2333333333333334,1.4285714285714286
abinash bohara,0,0.0,0,0,1,0,2.0,4.0,1,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adam milne,2,1.0,0,0,1,0,1.5,3.0,2,100.0,0.0,,0.0,1.0,0.0,0.0,0.5,1.4142135623730951,0.7071062811869011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
adam zampa,4,0.5714285714285714,0,0,1,0,2.2857142857142856,1.8571428571428572,7,57.14285714285714,0.0,,0.0,0.5714285714285714,0.0,0.0,0.14285714285714285,0.7867957924694432,0.726272116126813,0.0,0.3333333333333333,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.3333333333333333
adil rashid,7,1.1666666666666667,0,0,0,0,1.5,2.0,6,116.66666666666667,0.0,,0.0,1.1666666666666667,0.0,0.0,0.0,0.408248290463863,2.8577310332641876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1666666666666667
afif hossain,152,1.1875,10,3,11,13,1.2890625,2.359375,128,118.75,0.1015625,,0.1015625,1.2131147540983607,1.2241379310344827,0.7777777777777778,0.0859375,1.3086628386245442,0.9074140852307098,2.0,1.2222222222222223,1.2857142857142858,0.0,0.8571428571428571,0.0,1.1,2.25,0.95,1.1666666666666667,0.0,0.0,0.0,0.0,0.0,0.9473684210526315,0.0,0.75,1.6153846153846154,0.0,1.0,1.2054794520547945,1.3529411764705883,0.8571428571428571
ahmed shehzad,109,1.028301886792453,13,0,4,13,1.9811320754716981,2.481132075471698,106,102.8301886792453,0.12264150943396226,,0.12264150943396226,0.0,1.0862068965517242,0.9583333333333334,0.03773584905660377,1.2379518197395274,0.830647073455363,0.0,0.0,0.0,0.0,1.0666666666666667,0.0,0.8461538461538461,0.0,0.9230769230769231,1.3076923076923077,0.0,0.0,1.4285714285714286,0.0,0.0,1.4,0.0,1.0833333333333333,0.0,0.0,0.8214285714285714,0.0,1.1777777777777778,0.9180327868852459
aiden markram,293,1.3440366972477065,23,11,10,34,1.5963302752293578,2.2018348623853212,218,134.40366972477065,0.1559633027522936,,0.1559633027522936,1.7608695652173914,1.4594594594594594,0.819672131147541,0.045871559633027525,1.6195767321352312,0.8298685951156819,0.875,2.0,0.0,0.0,1.1538461538461537,0.0,1.2142857142857142,1.5384615384615385,1.4137931034482758,1.75,0.0,0.0,0.6818181818181818,0.0,0.0,1.56,0.0,1.2857142857142858,0.0,0.0,1.2857142857142858,1.1968503937007875,1.0,1.6329113924050633
aizaz khan,9,1.2857142857142858,1,0,0,1,2.7142857142857144,2.142857142857143,7,128.57142857142858,0.14285714285714285,,0.14285714285714285,1.2857142857142858,0.0,0.0,0.0,1.3801311186847083,0.9315878301126675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,2.3333333333333335,0.0,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,2.0
ajay lalcheta,7,0.875,1,0,1,1,1.125,2.25,8,87.5,0.125,,0.125,2.0,0.2,0.0,0.125,1.3562026818605375,0.6451833243806065,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875
ajinkya rahane,41,1.1388888888888888,2,0,1,2,1.6666666666666667,2.4444444444444446,36,113.88888888888889,0.05555555555555555,,0.05555555555555555,0.0,1.2083333333333333,1.0909090909090908,0.027777777777777776,0.9607371508460953,1.1854311061613418,0.0,0.0,0.0,0.0,0.0,0.0,1.2352941176470589,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,1.1388888888888888
akeal hosein,46,0.92,2,1,1,3,1.54,1.86,50,92.0,0.06,,0.06,1.2352941176470589,0.7575757575757576,0.0,0.02,1.209486313629527,0.7606528730253399,0.7142857142857143,1.75,0.0,0.0,0.0,0.0,0.6,0.0,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,1.8,0.0,0.0,0.8333333333333334,0.0,1.0,0.9183673469387755
al-amin hossain,0,0.0,0,0,1,0,1.5,2.0,2,0.0,0.0,,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alasdair evans,0,0.0,0,0,2,0,1.5,4.5,2,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alei nao,17,0.7391304347826086,2,0,1,2,1.565217391304348,1.7826086956521738,23,73.91304347826086,0.08695652173913043,,0.08695652173913043,0.5,1.1111111111111112,0.0,0.043478260869565216,1.1761799222424119,0.6284155955985429,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.4,0.0,0.0,0.0,1.0,1.3333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7391304347826086
alex hales,286,1.3816425120772946,28,11,10,39,1.5217391304347827,2.1207729468599035,207,138.16425120772945,0.18840579710144928,,0.18840579710144928,2.5,1.1466666666666667,1.5,0.04830917874396135,1.716355137773255,0.8049859126962968,0.5,1.2962962962962963,0.0,0.0,1.6,0.0,1.0416666666666667,1.0,1.6129032258064515,1.4285714285714286,0.0,0.0,1.3076923076923077,0.0,0.0,2.090909090909091,0.0,1.375,0.0,0.0,0.925,0.0,1.4,1.381188118811881
alishan sharafu,4,1.0,0,0,1,0,1.75,4.0,4,100.0,0.0,,0.0,1.0,0.0,0.0,0.25,0.816496580927726,1.2247433713934262,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
alpesh ramjani,13,0.7222222222222222,2,0,3,2,1.5555555555555556,2.1666666666666665,18,72.22222222222221,0.1111111111111111,,0.1111111111111111,0.0,0.0,0.7222222222222222,0.16666666666666666,1.274434386908933,0.5666997555473795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.7222222222222222
alzarri joseph,6,0.8571428571428571,1,0,2,1,2.0,2.5714285714285716,7,85.71428571428571,0.14285714285714285,,0.14285714285714285,1.0,0.0,0.0,0.2857142857142857,1.4638501094227998,0.5855396437693932,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
