,Batsman_Name_clean,total_runs,avg_runs,total_4s,total_6s,total_wickets,total_boundaries,mode_pitchLine,mode_pitchLength,balls_faced,strike_rate,boundary_rate,dot_ball_pct,dismissal_ratio,avg_runs_death,avg_runs_middle,avg_runs_powerplay,run_std,consistency_index,avg_vs_left-arm_fast,avg_vs_left-arm_fast-medium,avg_vs_left-arm_medium,"avg_vs_left-arm_medium,slow_left-arm_orthodox",avg_vs_left-arm_medium-fast,avg_vs_left-arm_wrist-spin,avg_vs_legbreak,avg_vs_legbreak_googly,avg_vs_right-arm_fast,avg_vs_right-arm_fast-medium,"avg_vs_right-arm_fast-medium,legbreak","avg_vs_right-arm_fast-medium,legbreak_googly",avg_vs_right-arm_medium,"avg_vs_right-arm_medium,legbreak","avg_vs_right-arm_medium,right-arm_offbreak",avg_vs_right-arm_medium-fast,"avg_vs_right-arm_medium-fast,right-arm_offbreak",avg_vs_right-arm_offbreak,"avg_vs_right-arm_offbreak,legbreak","avg_vs_right-arm_offbreak,legbreak_googly",avg_vs_slow_left-arm_orthodox,avg_runs_day,avg_runs_daynight,avg_runs_night
0,aamir kaleem,0,0.0,0,0,2,0,2,2,5,0.0,0.0,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,aaron finch,333,1.1978417266187051,23,13,11,36,2,2,278,119.78417266187051,0.12949640287769784,,0.039568345323741004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,aaron johnson,101,1.3466666666666667,12,4,4,16,2,2,75,134.66666666666666,0.21333333333333335,,0.05333333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,aaron jones,152,1.6344086021505377,6,13,1,19,2,2,93,163.44086021505376,0.20430107526881722,,0.010752688172043012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,aaron phangiso,4,0.8,0,0,0,0,2,2,5,80.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,aasif sheikh,4,0.5,1,0,1,1,2,0,8,50.0,0.125,,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,aayan afzal khan,25,0.8620689655172413,1,0,2,1,2,2,29,86.20689655172413,0.034482758620689655,,0.06896551724137931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,ab de villiers,117,1.8,5,9,3,14,2,2,65,180.0,0.2153846153846154,,0.046153846153846156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,abinash bohara,0,0.0,0,0,1,0,2,4,1,0.0,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,adam milne,2,1.0,0,0,1,0,1,2,2,100.0,0.0,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,adam zampa,4,0.5714285714285714,0,0,1,0,2,0,7,57.14285714285714,0.0,,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
