Bowler_Name,Bowler_Bowling_Style,balls_bowled,total_runs,total_boundaries,total_wickets,dot_balls,economy_rate,bowling_sr,boundary_pct,dot_ball_pct,wicket_pct,success_index,success_index_scaled,bowler_strength_zone,econ_death,econ_middle,econ_powerplay
DS Airee,"right-arm medium,right-arm offbreak",12,6,0,1,7,3.0,12.0,0.0,58.33,8.33,43.331,1.0,Elite,0.0,3.0,0.0
OEG Baartman,right-arm medium-fast,74,48,5,5,47,3.892,14.8,6.76,63.51,6.76,42.027,0.9699,Elite,4.54,7.0,2.52
NL McCullum,right-arm offbreak,31,21,1,3,16,4.065,10.33,3.23,51.61,9.68,39.192,0.9045,Elite,0.0,3.69,4.33
BJ Currie,left-arm fast-medium,24,16,1,2,12,4.0,12.0,4.17,50.0,8.33,38.332,0.8846,Elite,3.0,5.0,4.0
M Jansen,left-arm medium-fast,72,53,5,3,42,4.417,24.0,6.94,58.33,4.17,38.124,0.8798,Elite,8.57,7.38,3.12
KS Williamson,right-arm offbreak,6,3,0,0,3,3.0,,0.0,50.0,0.0,37.5,0.8654,Elite,0.0,3.0,0.0
Sompal Kami,right-arm fast-medium,24,18,2,2,12,4.5,12.0,8.33,50.0,8.33,37.082,0.8558,Elite,6.0,2.0,5.0
A Nortje,right-arm fast,300,258,23,33,154,5.16,9.09,7.67,51.33,11.0,36.899,0.8516,Elite,6.49,4.27,5.24
Fazalhaq Farooqi,left-arm fast-medium,132,122,14,11,73,5.545,12.0,10.61,55.3,8.33,36.06,0.8322,Elite,7.03,2.25,5.26
VJ Kingma,right-arm medium-fast,64,57,7,3,37,5.344,21.33,10.94,57.81,4.69,35.859,0.8276,Elite,0.0,6.0,5.16
A Dutt,right-arm offbreak,25,18,1,2,11,4.32,12.5,4.0,44.0,8.0,35.6,0.8216,Elite,0.0,4.15,4.5
PM Seelaar,slow left-arm orthodox,25,22,2,2,13,5.28,12.5,8.0,52.0,8.0,35.6,0.8216,Elite,7.71,4.33,0.0
Zahoor Khan,right-arm medium-fast,74,58,4,5,36,4.703,14.8,5.41,48.65,6.76,35.542,0.8202,Elite,6.0,3.75,4.74
JC Archer,right-arm fast,57,52,6,4,31,5.474,14.25,10.53,54.39,7.02,35.44,0.8179,Elite,8.0,3.86,5.68
N Thushara,right-arm medium-fast,48,38,2,5,21,4.75,9.6,4.17,43.75,10.42,35.418,0.8174,Elite,2.25,0.0,5.25
F Behardien,right-arm fast-medium,18,15,1,2,8,5.0,9.0,5.56,44.44,11.11,35.276,0.8141,Elite,9.0,3.0,0.0
Noor Ahmad,left-arm wrist-spin,31,25,2,2,15,4.839,15.5,6.45,48.39,6.45,35.0,0.8077,Elite,4.62,5.0,0.0
SI Kamea,left-arm fast,20,16,2,1,10,4.8,20.0,10.0,50.0,5.0,35.0,0.8077,Elite,0.0,3.0,5.57
Tanzim Hasan Sakib,right-arm medium,68,67,9,5,38,5.912,13.6,13.24,55.88,7.35,34.924,0.806,Elite,6.0,9.0,5.44
Mohammed Siraj,right-arm fast,67,54,4,2,35,4.836,33.5,5.97,52.24,2.99,34.778,0.8026,Elite,6.86,4.67,4.11
CH Gayle,right-arm offbreak,26,24,2,3,12,5.538,8.67,7.69,46.15,11.54,34.616,0.7989,Elite,5.25,5.0,7.0
Sabbir Rahman,legbreak,19,16,1,2,8,5.053,9.5,5.26,42.11,10.53,34.212,0.7896,Elite,0.0,5.05,0.0
S Badree,legbreak,140,126,13,11,68,5.4,12.73,9.29,48.57,7.86,34.215,0.7896,Elite,10.0,5.89,4.71
SN Netravalkar,left-arm fast-medium,60,52,4,4,29,5.2,15.0,6.67,48.33,6.67,34.167,0.7885,Elite,7.5,5.0,4.57
BD Glover,right-arm fast,94,94,11,9,48,6.0,10.44,11.7,51.06,9.57,34.146,0.788,Elite,3.43,8.4,3.24
AM Phangiso,slow left-arm orthodox,49,45,5,4,23,5.51,12.25,10.2,46.94,8.16,33.571,0.7748,Elite,0.0,4.74,11.0
AS Joseph,right-arm fast,135,136,16,14,65,6.044,9.64,11.85,48.15,10.37,33.483,0.7727,Elite,4.82,6.21,7.32
NT Ellis,right-arm fast-medium,43,41,5,3,21,5.721,14.33,11.63,48.84,6.98,33.142,0.7649,Elite,7.85,5.75,1.0
Aayan Afzal Khan,slow left-arm orthodox,48,38,2,3,20,4.75,16.0,4.17,41.67,6.25,33.126,0.7645,Elite,4.0,3.8,7.5
JDF Vandersay,legbreak,72,65,8,3,36,5.417,24.0,11.11,50.0,4.17,33.126,0.7645,Elite,0.0,6.86,3.4
SK Raina,right-arm offbreak,37,31,1,4,14,5.027,9.25,2.7,37.84,10.81,33.108,0.7641,Elite,0.0,5.03,0.0
N Vanua,right-arm medium,33,28,3,1,16,5.091,33.0,9.09,48.48,3.03,33.028,0.7622,Elite,3.0,6.0,6.0
D Heyliger,right-arm medium,70,58,2,5,29,4.971,14.0,2.86,41.43,7.14,32.858,0.7583,Elite,7.5,4.91,3.0
CD de Lange,slow left-arm orthodox,24,19,0,2,9,4.75,12.0,0.0,37.5,8.33,32.707,0.7548,Elite,6.0,4.33,0.0
PA van Meekeren,right-arm fast-medium,314,297,28,24,144,5.675,13.08,8.92,45.86,7.64,32.626,0.7529,Elite,5.1,5.89,5.78
Karan KC,right-arm fast,18,17,3,0,10,5.667,,16.67,55.56,0.0,32.501,0.7501,Elite,0.0,0.0,5.67
Asghar Afghan,right-arm medium-fast,4,4,0,1,1,6.0,4.0,0.0,25.0,25.0,32.5,0.75,Elite,6.0,0.0,0.0
PR Stirling,right-arm offbreak,20,18,2,2,8,5.4,10.0,10.0,40.0,10.0,32.5,0.75,Elite,11.0,6.0,2.5
AR Ramjani,slow left-arm orthodox,66,70,6,4,35,6.364,16.5,9.09,53.03,6.06,32.423,0.7483,Strong,7.0,4.0,7.33
B Kumar,right-arm medium,137,138,16,4,73,6.044,34.25,11.68,53.28,2.92,32.042,0.7395,Strong,8.4,0.0,5.52
A Nao,right-arm medium,41,43,4,2,21,6.293,20.5,9.76,51.22,4.88,31.585,0.7289,Strong,0.0,13.0,5.14
Tanwir Afzal,right-arm fast-medium,48,51,7,3,24,6.375,16.0,14.58,50.0,6.25,31.562,0.7284,Strong,0.0,4.0,6.71
G Motie,slow left-arm orthodox,44,49,5,5,20,6.682,8.8,11.36,45.45,11.36,31.474,0.7264,Strong,0.0,6.68,0.0
Taskin Ahmed,right-arm fast,377,421,58,26,194,6.7,14.5,15.38,51.46,6.9,31.448,0.7258,Strong,9.08,7.1,5.76
JJ Bumrah,right-arm fast,302,302,34,15,145,6.0,20.13,11.26,48.01,4.97,31.391,0.7244,Strong,6.82,5.56,5.67
SM Curran,left-arm medium-fast,139,150,14,13,64,6.475,10.69,10.07,46.04,9.35,31.364,0.7238,Strong,6.65,6.19,6.43
C Green,right-arm fast-medium,12,13,2,0,7,6.5,,16.67,58.33,0.0,31.249,0.7212,Strong,0.0,6.5,0.0
TA Boult,left-arm fast-medium,339,362,45,26,158,6.407,13.04,13.27,46.61,7.67,31.034,0.7162,Strong,6.66,7.02,6.07
TG Southee,right-arm medium-fast,303,318,40,18,145,6.297,16.83,13.2,47.85,5.94,30.988,0.7151,Strong,9.2,4.5,5.23
FJ Klaassen,left-arm fast-medium,248,247,25,10,118,5.976,24.8,10.08,47.58,4.03,30.946,0.7142,Strong,7.8,6.68,5.18
Imran Tahir,legbreak googly,96,78,2,6,34,4.875,16.0,2.08,35.42,6.25,30.938,0.714,Strong,3.65,5.9,2.0
WD Parnell,left-arm medium-fast,96,102,11,6,46,6.375,16.0,11.46,47.92,6.25,30.938,0.714,Strong,8.25,8.5,5.2
PW Hasaranga,legbreak,411,414,36,35,171,6.044,11.74,8.76,41.61,8.52,30.781,0.7104,Strong,5.31,6.28,5.0
Mujeeb Ur Rahman,right-arm offbreak,149,155,15,11,66,6.242,13.55,10.07,44.3,7.38,30.637,0.707,Strong,9.5,6.33,5.82
Bilal Khan,left-arm medium-fast,194,212,29,10,96,6.557,19.4,14.95,49.48,5.15,30.511,0.7041,Strong,6.89,24.0,6.16
Mahedi Hasan,right-arm offbreak,145,135,11,8,58,5.586,18.12,7.59,40.0,5.52,30.243,0.698,Strong,0.0,5.2,6.94
A Nehra,left-arm medium-fast,113,117,15,6,51,6.212,18.83,13.27,45.13,5.31,30.133,0.6954,Strong,9.72,3.5,5.25
A Zampa,legbreak googly,374,379,29,32,147,6.08,11.69,7.75,39.3,8.56,30.014,0.6927,Strong,8.0,5.88,0.0
KP Meiyappan,legbreak,72,76,7,6,30,6.333,12.0,9.72,41.67,8.33,30.001,0.6924,Strong,8.33,5.12,10.0
R Ngarava,left-arm fast-medium,173,191,23,10,82,6.624,17.3,13.29,47.4,5.78,29.972,0.6917,Strong,6.41,4.5,7.09
T Shamsi,left-arm wrist-spin,165,173,16,12,70,6.291,13.75,9.7,42.42,7.27,29.906,0.6902,Strong,8.52,5.78,0.0
B Masaba,"right-arm fast-medium,legbreak googly",74,70,4,5,28,5.676,14.8,5.41,37.84,6.76,29.866,0.6893,Strong,4.56,6.24,0.0
Mohammad Amir,left-arm fast-medium,167,181,23,8,79,6.503,20.88,13.77,47.31,4.79,29.852,0.6889,Strong,9.05,4.33,5.27
Naveen-ul-Haq,right-arm medium-fast,153,172,22,13,67,6.745,11.77,14.38,43.79,8.5,29.674,0.6848,Strong,6.44,9.75,6.07
K Birkenstock,right-arm fast-medium,12,9,0,1,3,4.5,12.0,0.0,25.0,8.33,29.582,0.6827,Strong,0.0,4.5,0.0
Arshdeep Singh,left-arm medium-fast,206,234,30,18,90,6.816,11.44,14.56,43.69,8.74,29.563,0.6823,Strong,9.93,6.48,5.29
M Pathirana,right-arm fast,45,40,2,1,18,5.333,45.0,4.44,40.0,2.22,29.556,0.6821,Strong,3.0,5.69,0.0
GD Elliott,right-arm medium,79,75,6,4,31,5.696,19.75,7.59,39.24,5.06,29.556,0.6821,Strong,7.0,5.41,6.5
