Bowler_Name,Bowler_Bowling_Style,Batsman_Name,balls_bowled,total_runs,total_boundaries,total_wickets,dot_balls,economy_rate,boundary_pct,dot_ball_pct,wicket_pct,success_index,success_index_scaled,performance_label
Trent Boult,left-arm fast-medium,Shardul Thakur,3,0,0,1,3,0.0,0.0,100.0,33.33,73.332,1.0,High Success
Naveen-ul-Haq,right-arm medium-fast,John Kariko,3,0,0,1,3,0.0,0.0,100.0,33.33,73.332,1.0,High Success
Fayyaz Butt,right-arm medium-fast,Mahedi Hasan,3,0,0,1,3,0.0,0.0,100.0,33.33,73.332,1.0,High Success
Mitchell Santner,slow left-arm orthodox,Harry Tector,3,0,0,1,3,0.0,0.0,100.0,33.33,73.332,1.0,High Success
Safyaan Sharif,right-arm medium-fast,Kashyap Prajapati,3,0,0,1,3,0.0,0.0,100.0,33.33,73.332,1.0,High Success
Brad Wheal,right-arm fast-medium,JP Kotze,3,0,0,1,3,0.0,0.0,100.0,33.33,73.332,1.0,High Success
Lahiru Kumara,right-arm fast,Paul van Meekeren,3,0,0,1,3,0.0,0.0,100.0,33.33,73.332,1.0,High Success
Dushmantha Chameera,right-arm fast,Roelof van der Merwe,3,0,0,1,3,0.0,0.0,100.0,33.33,73.332,1.0,High Success
Vivian Kingma,right-arm medium-fast,Aiden Markram,3,0,0,1,3,0.0,0.0,100.0,33.33,73.332,1.0,High Success
Shakib Al Hasan,slow left-arm orthodox,Avishka Fernando,3,0,0,1,3,0.0,0.0,100.0,33.33,73.332,1.0,High Success
Hamid Hassan,right-arm fast,JJ Smit,3,0,0,1,3,0.0,0.0,100.0,33.33,73.332,1.0,High Success
Alzarri Joseph,right-arm fast,Richard Ngarava,3,0,0,1,3,0.0,0.0,100.0,33.33,73.332,1.0,High Success
Arshdeep Singh,left-arm medium-fast,Nitish Kumar,3,0,0,1,3,0.0,0.0,100.0,33.33,73.332,1.0,High Success
Kaleemullah,right-arm medium,Lega Siaka,3,0,0,1,3,0.0,0.0,100.0,33.33,73.332,1.0,High Success
Mohammad Wasim,right-arm fast-medium,Sikandar Raza,3,0,0,1,3,0.0,0.0,100.0,33.33,73.332,1.0,High Success
Ashish Nehra,left-arm medium-fast,Colin Munro,3,0,0,1,3,0.0,0.0,100.0,33.33,73.332,1.0,High Success
Kagiso Rabada,right-arm fast,Mushfiqur Rahim,3,0,0,1,3,0.0,0.0,100.0,33.33,73.332,1.0,High Success
Adam Zampa,legbreak googly,Shoaib Khan,3,0,0,1,3,0.0,0.0,100.0,33.33,73.332,1.0,High Success
Samuel Badree,legbreak,Milinda Siriwardana,3,0,0,1,3,0.0,0.0,100.0,33.33,73.332,1.0,High Success
Akeal Hosein,slow left-arm orthodox,Milton Shumba,3,0,0,1,3,0.0,0.0,100.0,33.33,73.332,1.0,High Success
Hasan Ali,right-arm medium-fast,Kyle Coetzer,3,0,0,1,3,0.0,0.0,100.0,33.33,73.332,1.0,High Success
Hasan Mahmud,right-arm fast-medium,Logan van Beek,3,0,0,1,3,0.0,0.0,100.0,33.33,73.332,1.0,High Success
Simi Singh,"right-arm offbreak,legbreak googly",Craig Ervine,3,0,0,1,3,0.0,0.0,100.0,33.33,73.332,1.0,High Success
Sikandar Raza,"right-arm offbreak,legbreak",Shamarh Brooks,3,0,0,1,3,0.0,0.0,100.0,33.33,73.332,1.0,High Success
Paul van Meekeren,right-arm fast-medium,Tanzid Hasan,3,0,0,1,3,0.0,0.0,100.0,33.33,73.332,1.0,High Success
Paul van Meekeren,right-arm fast-medium,Ryan Burl,3,0,0,1,3,0.0,0.0,100.0,33.33,73.332,1.0,High Success
Josh Hazlewood,right-arm fast-medium,Usman Ghani,3,0,0,1,3,0.0,0.0,100.0,33.33,73.332,1.0,High Success
Josh Little,left-arm fast-medium,Marcus Stoinis,3,0,0,1,3,0.0,0.0,100.0,33.33,73.332,1.0,High Success
Chris Jordan,right-arm fast-medium,Asghar Afghan,3,0,0,1,3,0.0,0.0,100.0,33.33,73.332,1.0,High Success
Naseem Shah,right-arm fast,Axar Patel,3,0,0,1,3,0.0,0.0,100.0,33.33,73.332,1.0,High Success
Mujeeb Ur Rahman,right-arm offbreak,Richie Berrington,3,0,0,1,3,0.0,0.0,100.0,33.33,73.332,1.0,High Success
Mitchell Santner,slow left-arm orthodox,Steven Smith,3,0,0,1,3,0.0,0.0,100.0,33.33,73.332,1.0,High Success
Josh Hazlewood,right-arm fast-medium,Daryl Mitchell,3,0,0,1,3,0.0,0.0,100.0,33.33,73.332,1.0,High Success
Mark Wood,right-arm fast,Kashyap Prajapati,3,0,0,1,3,0.0,0.0,100.0,33.33,73.332,1.0,High Success
Tanwir Afzal,right-arm fast-medium,Richmond Mutumbami,3,0,0,1,3,0.0,0.0,100.0,33.33,73.332,1.0,High Success
Adil Rashid,legbreak,Charith Asalanka,3,0,0,1,3,0.0,0.0,100.0,33.33,73.332,1.0,High Success
Shaheen Shah Afridi,left-arm fast,Rilee Rossouw,3,0,0,1,3,0.0,0.0,100.0,33.33,73.332,1.0,High Success
Shaheen Shah Afridi,left-arm fast,Nurul Hasan,3,0,0,1,3,0.0,0.0,100.0,33.33,73.332,1.0,High Success
Mustafizur Rahman,left-arm fast-medium,Sikandar Raza,3,0,0,1,3,0.0,0.0,100.0,33.33,73.332,1.0,High Success
Haris Rauf,right-arm fast,Anrich Nortje,3,1,0,2,2,2.0,0.0,66.67,66.67,71.669,0.9773,High Success
Mark Adair,right-arm fast-medium,Virat Kohli,4,0,0,1,4,0.0,0.0,100.0,25.0,70.0,0.9546,High Success
Safyaan Sharif,right-arm medium-fast,Kane Williamson,4,0,0,1,4,0.0,0.0,100.0,25.0,70.0,0.9546,High Success
Pat Cummins,right-arm fast,Jan Frylinck,4,0,0,1,4,0.0,0.0,100.0,25.0,70.0,0.9546,High Success
Ajay Lalcheta,slow left-arm orthodox,Soumya Sarkar,4,0,0,1,4,0.0,0.0,100.0,25.0,70.0,0.9546,High Success
Tim Southee,right-arm medium-fast,Rovman Powell,4,0,0,1,4,0.0,0.0,100.0,25.0,70.0,0.9546,High Success
Marcus Stoinis,right-arm medium,Zeeshan Maqsood,4,0,0,1,4,0.0,0.0,100.0,25.0,70.0,0.9546,High Success
Bas de Leede,right-arm fast-medium,Dipendra Singh Airee,4,0,0,1,4,0.0,0.0,100.0,25.0,70.0,0.9546,High Success
Marcus Stoinis,right-arm medium,Ben Shikongo,4,0,0,1,4,0.0,0.0,100.0,25.0,70.0,0.9546,High Success
