ID,Name,Role,Full Name,Image,DOB,Batting Style (s),Bowling Style (s),Batting Style (l),Bowling Style(l),Team ID,Playing Role
2230,RT Ponting,C,Ricky Ponting,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319700/319711.png",19-12-1974,rhb,rm,right-hand bat,right-arm medium,2.0,top-order batter
8876,MJ Clarke,VC,Michael Clarke,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316400/316498.png",2-4-1981,rhb,sla,right-hand bat,slow left-arm orthodox,2.0,middle-order batter
7445,NW Bracken,P,Nathan Bracken,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319700/319710.png",12-9-1977,rhb,lfm,right-hand bat,left-arm fast-medium,2.0,bowler
6426,BJ Haddin,WK,Brad Haddin,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316400/316491.png",23-10-1977,rhb,,right-hand bat,,2.0,wicketkeeper batter
10122,NM Hauritz,P,Nathan Hauritz,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321500/321597.png",18-10-1981,rhb,ob,right-hand bat,right-arm offbreak,2.0,bowler
44865,BW Hilfenhaus,P,Ben Hilfenhaus,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321500/321562.png",15-3-1983,rhb,rfm,right-hand bat,right-arm fast-medium,2.0,bowler
9235,JR Hopes,P,James Hopes,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319600/319699.png",24-10-1978,rhb,rm,right-hand bat,right-arm medium,2.0,allrounder
11984,DJ Hussey,P,David Hussey,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319600/319692.png",15-7-1977,rhb,ob,right-hand bat,right-arm offbreak,2.0,allrounder
6256,MEK Hussey,P,Michael Hussey,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319700/319708.png",27-5-1975,lhb,rm,left-hand bat,right-arm medium,2.0,middle-order batter
10130,MG Johnson,P,Mitchell Johnson,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316500/316504.png",2-11-1981,lhb,lf,left-hand bat,left-arm fast,2.0,bowler
5966,B Lee,P,Brett Lee,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319600/319688.png",8-11-1976,rhb,rf,right-hand bat,right-arm fast,2.0,bowler
45980,PM Siddle,P,Peter Siddle,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316500/316550.png",25-11-1984,rhb,rfm,right-hand bat,right-arm fast-medium,2.0,bowler
48739,DA Warner,P,David Warner,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316500/316589.png",27-10-1986,lhb,lb,left-hand bat,legbreak,2.0,opening batter
10125,SR Watson,P,Shane Watson,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316500/316502.png",17-6-1981,rhb,rfm,right-hand bat,right-arm fast-medium,2.0,allrounder
12049,CL White,P,Cameron White,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319600/319689.png",18-8-1983,rhb,lbg,right-hand bat,legbreak googly,2.0,middle-order batter
4382,A Symonds,P,Andrew Symonds,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319600/319686.png",9-6-1975,rhb,"rm,ob",right-hand bat,"right-arm medium,right-arm offbreak",2.0,allrounder
24667,Mohammad Ashraful,C,Mohammad Ashraful,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319700/319729.png",7-7-1984,rhb,"ob,lb",right-hand bat,"right-arm offbreak,legbreak",25.0,middle-order batter
45159,Abdur Razzak,P,Abdur Razzak,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319600/319683.png",15-6-1982,lhb,sla,left-hand bat,slow left-arm orthodox,25.0,bowler
47218,Junaid Siddique,P,Zunaed Siddique,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319700/319724.png",30-10-1987,lhb,ob,left-hand bat,right-arm offbreak,25.0,top-order batter
47352,Mahmudullah,P,Mahmudullah,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316500/316571.png",4-2-1986,rhb,ob,right-hand bat,right-arm offbreak,25.0,allrounder
24672,Mashrafe Mortaza,P,Mashrafe Mortaza,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316500/316529.png",5-10-1983,rhb,rfm,right-hand bat,right-arm fast-medium,25.0,bowler
50414,Mohammad Mithun,P,Mohammad Mithun,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319700/319730.png",2-3-1991,rhb,,right-hand bat,,25.0,top-order batter
47986,Mushfiqur Rahim,WK,Mushfiqur Rahim,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316500/316578.png",9-5-1987,rhb,,right-hand bat,,25.0,wicketkeeper batter
47189,Naeem Islam,P,Naeem Islam,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319700/319735.png",31-12-1986,rhb,ob,right-hand bat,right-arm offbreak,25.0,allrounder
48394,Raqibul Hasan,P,Raqibul Hasan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319700/319737.png",8-10-1987,rhb,lb,right-hand bat,legbreak,25.0,batter
52364,Rubel Hossain,P,Rubel Hossain,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316634.png",1-1-1990,rhb,rf,right-hand bat,right-arm fast,25.0,bowler
47353,Shahadat Hossain,P,Shahadat Hossain,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319900/319902.png",7-8-1986,rhb,rmf,right-hand bat,right-arm medium-fast,25.0,bowler
48277,Shakib Al Hasan,P,Shakib Al Hasan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316500/316581.png",24-3-1987,lhb,sla,left-hand bat,slow left-arm orthodox,25.0,allrounder
