Full Name,match_phase,total_runs,balls_faced,boundaries,wickets,fours,sixes,strike_rate,boundary_pct,wicket_pct,dot_ball_pct,adaptability_index,adaptability_label,playing_role
AB de Villiers,Death,54,18,8,1,1,7,300.0,44.44,5.56,11.11,0.657,Moderate,wicketkeeper batter
AB de Villiers,Middle,51,36,5,2,3,2,141.67,13.89,5.56,25.0,0.355,Moderate,wicketkeeper batter
AB de Villiers,Powerplay,6,7,1,0,1,0,85.71,14.29,0.0,57.14,0.227,Low,wicketkeeper batter
Aamir Kaleem,Middle,0,5,0,2,0,0,0.0,0.0,40.0,100.0,0.0,Low,middle-order batter
Aaron Finch,Death,27,16,3,2,2,1,168.75,18.75,12.5,12.5,0.426,Moderate,top-order batter
Aaron Finch,Middle,89,91,8,3,6,2,97.8,8.79,3.3,36.26,0.267,Low,top-order batter
Aaron Finch,Powerplay,186,151,25,6,15,10,123.18,16.56,3.97,50.33,0.291,Low,top-order batter
Aaron Johnson,Middle,31,26,4,2,0,4,119.23,15.38,7.69,57.69,0.268,Low,batter
Aaron Johnson,Powerplay,64,47,12,2,12,0,136.17,25.53,4.26,51.06,0.332,Moderate,batter
Aaron Jones,Death,52,27,7,0,3,4,192.59,25.93,0.0,18.52,0.463,Moderate,top-order batter
Aaron Jones,Middle,79,41,11,1,3,8,192.68,26.83,2.44,34.15,0.435,Moderate,top-order batter
Aaron Jones,Powerplay,10,19,1,0,0,1,52.63,5.26,0.0,78.95,0.119,Low,top-order batter
Aaron Phangiso,Death,4,5,0,0,0,0,80.0,0.0,0.0,20.0,0.252,Low,bowler
Aasif Sheikh,Powerplay,4,8,1,1,1,0,50.0,12.5,12.5,87.5,0.12,Low,wicketkeeper batter
Aayan Afzal Khan,Death,5,7,0,1,0,0,71.43,0.0,14.29,57.14,0.168,Low,bowling allrounder
Aayan Afzal Khan,Middle,19,21,1,1,1,0,90.48,4.76,4.76,42.86,0.233,Low,bowling allrounder
Abinash Bohara,Death,0,1,0,1,0,0,0.0,0.0,100.0,100.0,0.0,Low,bowler
Adam Milne,Death,2,2,0,1,0,0,100.0,0.0,50.0,50.0,0.215,Low,bowler
Adam Zampa,Death,4,7,0,1,0,0,57.14,0.0,14.29,57.14,0.152,Low,bowler
Adil Rashid,Death,7,6,0,0,0,0,116.67,0.0,0.0,0.0,0.335,Moderate,bowler
Afif Hossain,Death,70,57,7,7,6,1,122.81,12.28,12.28,26.32,0.326,Low,allrounder
Afif Hossain,Middle,69,56,6,3,4,2,123.21,10.71,5.36,26.79,0.321,Low,allrounder
Afif Hossain,Powerplay,6,8,0,1,0,0,75.0,0.0,12.5,62.5,0.162,Low,allrounder
Ahmed Shehzad,Middle,62,57,7,3,7,0,108.77,12.28,5.26,33.33,0.296,Low,opening batter
Ahmed Shehzad,Powerplay,45,47,6,1,6,0,95.74,12.77,2.13,44.68,0.259,Low,opening batter
Aiden Markram,Death,79,44,10,3,5,5,179.55,22.73,6.82,25.0,0.425,Moderate,opening batter
Aiden Markram,Middle,158,109,17,3,12,5,144.95,15.6,2.75,21.1,0.372,Moderate,opening batter
Aiden Markram,Powerplay,50,61,7,4,6,1,81.97,11.48,6.56,63.93,0.201,Low,opening batter
Aizaz Khan,Death,9,7,1,0,1,0,128.57,14.29,0.0,28.57,0.334,Moderate,allrounder
Ajay Lalcheta,Death,6,3,1,0,1,0,200.0,33.33,0.0,0.0,0.531,Moderate,batting allrounder
Ajay Lalcheta,Middle,1,5,0,1,0,0,20.0,0.0,20.0,80.0,0.063,Low,batting allrounder
Ajinkya Rahane,Death,0,1,0,1,0,0,0.0,0.0,100.0,100.0,0.0,Low,top-order batter
Ajinkya Rahane,Middle,28,23,1,0,1,0,121.74,4.35,0.0,17.39,0.319,Low,top-order batter
Ajinkya Rahane,Powerplay,12,11,1,0,1,0,109.09,9.09,0.0,27.27,0.299,Low,top-order batter
Akeal Hosein,Death,21,17,2,0,2,0,123.53,11.76,0.0,29.41,0.319,Low,bowler
Akeal Hosein,Middle,25,33,1,1,0,1,75.76,3.03,3.03,51.52,0.193,Low,bowler
Al-Amin Hossain,Death,0,1,0,1,0,0,0.0,0.0,100.0,100.0,0.0,Low,bowler
Al-Amin Hossain,Middle,0,1,0,0,0,0,0.0,0.0,0.0,100.0,0.0,Low,bowler
Alasdair Evans,Death,0,2,0,2,0,0,0.0,0.0,100.0,100.0,0.0,Low,bowler
Alei Nao,Death,7,14,0,1,0,0,50.0,0.0,7.14,57.14,0.143,Low,bowler
Alei Nao,Middle,10,9,2,0,2,0,111.11,22.22,0.0,55.56,0.284,Low,bowler
Alex Hales,Death,5,2,1,0,1,0,250.0,50.0,0.0,0.0,0.638,Moderate,opening batter
Alex Hales,Middle,86,75,8,5,4,4,114.67,10.67,6.67,36.0,0.292,Low,opening batter
Alex Hales,Powerplay,186,125,29,5,22,7,148.8,23.2,4.0,41.6,0.358,Moderate,opening batter
Alishan Sharafu,Death,4,4,0,1,0,0,100.0,0.0,25.0,25.0,0.265,Low,opening batter
